"","var9","var22","var23","var24","var25","var26","var27","var29","var30","var31","var33","var39","var41","var49","var50","var51","var53","var54","var55","var56","var57","var58","var59","var60","var61","var62","var63","var64","var65","var66","y"
"3","3","5","3","2","1","7","0","4","1","0","1","4","3","0","0","0","1","1",-0.503266188935339,0.347965780006879,0.359005063683367,0.350960528028371,0.427328721633141,-1.08537866778962,0.139863367718861,-0.408421346060251,0.861317511980412,-0.548254570639019,-0.397361911433702,-0.397361927099459,0.999981105327606
"4","1","0","0","0","0","1","1","1","2","0","0","4","3","1","0","0","1","1",-0.341487409458885,0.3621454770829,0.349139832483368,0.356286236380104,0.429746349473954,-1.08537866778962,0.179883726632148,-0.533416172099441,0.736296742560185,-0.272676038284351,2.51662835147138,2.51640197803204,4.75045908387983e-06
"8","1","4","3","0","0","7","0","4","2","0","3","4","3","0","0","0","1","1",2.53966750922892,0.347965780006879,0.359005063683367,0.350960528028371,0.427914254733392,-1.08537866778962,0.2726760347679,0.947154517129659,0.21034729879221,0.0671813576958508,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"19","1","5","3","2","0","6","0","4","2","0","6","1","3","0","0","0","1","1",-0.0105299899918422,0.360792344956362,0.349139832483368,0.352440683440384,0.427120371984635,-1.08537866778962,0.116375369199791,-0.629019533723374,0.826829023864499,-0.401233765537026,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"22","3","5","3","2","4","5","0","4","2","0","0","4","3","0","1","0","1","1",0.316919777672649,0.360595013187908,0.349139832483368,0.352399104194286,0.4256460246344,0.921014004004695,0.139090850872942,1.43075116176104,0.408656105458796,0.000851040975531187,-0.397361911433702,-0.397361927099459,0.999981105327606
"24","1","4","3","0","0","5","1","4","2","0","1","4","3","0","0","0","1","1",-0.270655898866069,0.368319142410234,0.347172838532448,0.351280213891977,0.425127796518938,0.920871420319564,0.14660212990355,3.01286189913499,0.111192895458875,2.73475419818015,2.51820681648066,2.51640876645975,0.999981105327606
"28","3","0","3","0","4","1","0","4","2","0","6","4","3","1","0","0","2","1",1.91006249055974,0.359298261566642,0.349139832483368,0.35358199699205,0.426199395478746,0.920751521657702,0.133883055674856,-0.21218628176991,0.675941888357294,1.48610308135793,-0.397361911433702,-0.397361927099459,0.999981105327606
"29","3","0","1","0","4","7","0","2","2","0","5","4","3","1","0","0","2","2",0.0296135272987095,0.34937529263869,0.356644670942263,0.352402401557909,0.427654908396045,0.920743553720976,0.201649265065525,-0.536562940364591,-2.25126854048254,-0.879906154242222,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"35","3","2","3","2","1","8","1","4","1","0","5","4","3","0","0","0","1","1",0.0445786869948895,0.365753829420337,0.348504342129994,0.354279915583722,-2.33925060694862,-1.08537866778962,0.14732522845768,0.515333564778974,0.701808254444229,0.361222967900907,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"36","1","5","1","1","2",NA,"0","4","1","0","0","2","3","0","1","0","0","0",2.45945351406093,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.150262515439371,1.52830097798219,-0.238003046714959,0.367377327184191,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"40","1","2","3","1","3","1","1","2","1","0","1","4","3","0","1","0","1","1",0.18923984407856,0.358875407777098,0.349139832483368,0.360812660822456,0.425187186520672,0.920851542924727,0.168870370309828,1.92839472040126,0.395722922415329,-0.0285531200450814,-0.397361911433702,-0.397361927099459,0.999981105327606
"48","3","3","3","0","1",NA,"1","4","1","0","5","4","4","1","0","0","1","1",-0.491201485922624,0.347965780006879,0.359005063683367,-2.82650626985213,0.428027608609294,0.920583790444107,0.151545383511435,-0.390870813777064,0.400033983429818,0.286003021104078,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"59","3","5","4","1","1","6","0","4","1","0","2","4","1","0","0","0","1","1",0.574746265031472,0.355548957966024,0.349745061391343,0.35289518990099,0.426531480377912,-1.08537866778962,0.114507076469866,0.751553997037887,-0.225069863671448,0.772197404488904,-0.397361911433702,-0.397361927099459,0.999981105327606
"61","3","5","3","2","4","7","1","4","2","0","2","1","3","0","0","0","1","1",-0.127297131312545,0.344470188679987,0.373530557474778,0.351142226949409,0.425765126217005,-1.08537866778962,0.164806697643634,-1.22281794945658,0.106881834444386,0.473369070397443,-0.397361911433702,-0.397361927099459,0.999981105327606
"64","1","5","1","1","2",NA,"0","4","2","0","6","4","3","0","0","0","0","0",-0.523840423541319,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.191143612640334,-0.490042675495609,-2.14780307613471,-0.444998098218458,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"68","3","5","1","1","4","10","1","4","2","0","4","1","3","0","1","0","3","1",1.41247137064434,0.349854526933506,0.356644670942263,0.353477877941873,0.428644770232641,-1.08537866778962,0.201879245450426,0.172238501142926,0.857006450965923,0.653213125010643,-0.397361911433702,-0.397361927099459,0.999981105327606
"70","3","5","3","2","4","7","0","4","2","0","2","4","3","0","0","0","2","1",0.232018060188879,0.344582949690532,0.373530557474778,0.351134876025239,0.425582991721712,-1.08537866778962,0.109998540575795,-0.415396141699567,0.675941888357294,0.0931664302258689,-0.397361911433702,-0.397361927099459,0.999981105327606
"78","1","5","4","0","0","10","0","5","2","0","2","4","3","0","0","0","1","1",-0.558814862385477,0.346471696617159,0.369747876799932,0.354419977065857,0.427274032293334,-1.08537866778962,0.143623322424964,-0.19045087210317,0.788029474734054,-0.791693671180384,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"80","2","5","3","2","2","7","0","4","1","0","3","4","3","0","1","0","1","1",-0.433638508665533,0.344582949690532,0.373530557474778,0.351057032264044,0.427599063111693,0.922728634538848,0.119759536263742,-0.813478547701721,-0.272491534830872,-0.589283632528296,-0.397361911433702,-0.397361927099459,0.999981105327606
