"","var9","var22","var23","var24","var25","var26","var27","var29","var30","var31","var33","var39","var41","var49","var50","var51","var53","var54","var55","var56","var57","var58","var59","var60","var61","var62","var63","var64","var65","var66","y"
"2463","1","0","1","0","0","2","0","2","2","0","5","4","3","1","0","0","2","2",-0.514381379581458,0.369080279231412,0.346295256615883,0.350427164376398,0.432278558270525,0.921724930739215,0.196043801846949,-0.59502146009529,-0.16902607048309,-0.133861045559893,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"2511","2","3","3","0","2","7","1","4","2","0","2","4","4","1","1","0","1","1",-0.654204335558963,0.344921232722166,0.372622714112815,0.351142226949409,0.425855286728765,0.920834185274184,0.162110036276936,-0.442095010588893,-1.73394121874354,-0.544151664449984,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"10419","3","5","3","2","4","7","0","4","2","0","5","4","4","0","0","0","2","2",0.473011162869927,0.361017866977451,0.349139832483368,0.351464733363484,0.426086668297933,-1.08537866778962,0.146768967169399,0.490094536837512,-0.363023816135186,-0.430637926557104,-0.397361911433702,-0.397361927099459,0.999981105327606
"8718","3","5","3","0","4","1","0","4","2","0","4","4","8","0","0","0","2","2",-0.466397125322126,0.350361951480958,0.354889507109135,0.353500648175426,0.426549777958069,0.922667631736066,0.11320636009844,-0.488453070907969,-0.751019307439422,0.480207247378632,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"12483","3","2","3","0","4","2","0","4","2","0","5","4","3","1","0","0","2","2",-0.505514570860948,0.365669258662429,0.348504342129994,0.350427164376398,0.426521454696809,0.921368638486065,0.191081427707332,-0.381495390801316,0.374167617342883,-0.654930131550711,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"2986","3","5","4","2","4","7","1","5","2","0","2","4","3","0","0","0","3","1",-0.535871686822986,0.344272856911533,0.373530557474778,0.352041715150482,0.426757829965727,0.920437495341332,0.1845646821065,-0.881604458597667,0.39141186140084,0.00974067105150551,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"1842","3","1","3","2","4","5","0","4","2","0","4","4","3","0","1","0","1","1",-0.332926838276266,0.364034224009528,0.349139832483368,0.35225525216959,0.426247872770588,0.920766297179604,0.131006901727695,-0.725888090835506,0.503499447777643,-0.401233765537026,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"9334","3","3","3","0","1","7","1","4","1","0","2","4","3","1","0","1","2","2",-0.578620863166833,0.347486545712063,0.359005063683367,0.351368917110806,0.426219407828508,0.921794668510581,0.131653616756668,-0.266849215036387,-0.440622914396034,1.35686153640735,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"3371","1","1","0","1","3","7","0","1","1","0","6","4","3","1","0","0","1","1",-0.45893918527593,0.349882717186142,0.356644670942263,0.35250476489181,0.428328472791063,-1.08537866778962,0.153632410382961,0.560199343240614,0.589720668067468,-0.990684621342413,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"13541","3","5","3","0","4","4","0","4","2","0","5","4","3","0","0","0","2","2",-0.469148863201223,0.344188286153624,0.373530557474778,0.350701577711436,0.427823241721933,0.92089984327203,0.143907086408228,-0.677388930459552,0.783718413719565,-0.490813883994674,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"13556","2","4","3","0","2","7","1","4","2","0","0","4","3","0","1","0","2","2",-0.186071858828354,0.347120072427792,0.366873039487048,0.350739225536264,0.425031147658105,0.920841697737644,0.148367649187752,-0.648062347864369,-1.12608161570023,-0.445681915916362,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"13326","1","5","1","1","2",NA,"0","4","2","0","1","1","3","0","0","0","0","0",-0.13372283965687,-2.81034376124603,-2.80832952825954,-2.82650626985213,-2.33925060694862,-1.08537866778962,0.307104807110269,-0.525435708251667,0.231902603864657,3.72765749589444,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"11638","3","2","4","0","1","7","1","5","1","0","5","4","3","1","0","0","2","2",-0.464799058168808,0.348304063038513,0.359005063683367,0.35122459104055,0.428474239076066,-1.08537866778962,0.177186021829301,0.169416141977404,0.861317511980412,-0.369778151422164,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
"4761","1","0","3","2","3","8","1","4","1","0","0","4","3","0","0","0","2","2",-0.243002121171903,0.367247912810057,0.347808328885822,0.362753148873277,0.431003938258667,0.921730040648501,0.166706989123839,-0.308049170673583,-0.294046839903318,-0.396447041649551,-0.397361911433702,-0.397361927099459,4.75045908387983e-06
